der Abend,evening
die Arbeit,job
die Bäckerei,bakery
das Bad,bathroom
das Brötchen,bun
der Chef,chef
die Chefin,chef
der Eintritt,entrance
das Ende,end
das Essen,food
der Film,film
die Karte,card
das Kino,movie
das Konzert,concert
der Mittag,noon
der Morgen,morning
der Nachmittag,afternoon
der Park,park
die Pause,break
die Schule,school
das Schwimmbad,swimming pool
der Tag,day
der Unterricht,lessons
der Vormittag,morning
die Woche,week
der Wochentag,day of the week
die Zeit,hour
die Zeitung,newspaper