el abrigo,Coat
los bluejeans,Jeans
la blusa,blouse
la bolsa, bag/purse
las botas,Boots
los calcetines,socks
la camisa,shirt
la camiseta,t-shirt
la cartera,wallet
la chaqueta,jacket
el cintur¢n,belt
la corbata,tie
la falda,skirt
las gafas (de sol),(sun) glasses
los guantes,gloves
el impermeable,raincoat
las medias,"pantyhose, stockings"
los pantalones,pants
los pantalones cortos,shorts
el par de zapatos,pair of shoes
la ropa,clothing/clothes
la ropa interior,underwear
las sandalias,sandals
el sombrero,hat
el su‚ter,sweater
el traje,suit
el traje de ba¤o,bathing suit
el vestido,dress
los zapatos de tenis,sneaker